source,target
haskell-vim-now,haskell
pandoc,haskell
net-fortune,haskell
ghc_framework,haskell
docker-pandoc-plantuml,haskell
pandoc-docker,haskell
haskell-language-dockerfile,haskell
bot,haskell
docker-ghcjs,haskell
highhockwho,haskell
duckling,haskell
docker-hledger-build,haskell
brandonweb-docker,haskell
haskell-fpm-reprepro,haskell
unused,haskell
pandoc-docker,haskell
uiuc-cs421-docker-haskell,haskell
popeye,haskell
unused,haskell
nicovideo-translator,haskell
postgrest,haskell
hadolint,haskell
yesod,haskell
nmifc-basicauth,haskell
ebooktools,haskell
ghcjs,haskell
werewolf-slack-docker,haskell
haskell-99,haskell
haskell-vim-now,haskell
pandoc,haskell
optimized-elm-0.16-docker,haskell
leksah,haskell
seat_rest_service,haskell
campus,haskell
sloppy-test,haskell
shush,haskell
elm,haskell
unused,haskell
ghci,haskell
pandoc,haskell
pandoc-docker,haskell
bnfc,haskell
base-haskell,haskell
curated-docker-haskell,haskell
silver-magpie-backend,haskell
clozecards_backend,haskell
ghcshell,haskell
cruxlang-automated,haskell
elm,haskell
ghcjs,haskell
pandoc-gitlab-ci,haskell
doc-converter,haskell
pandoc-docker,haskell
haskell78lts1,haskell
pandoc,haskell
pandoc,haskell
peacoq,haskell
obj805,haskell
yrarbilbackend.ab,haskell
pandoc-autobuild,haskell
duckling,haskell
music-suite,haskell
haste-compiler,haskell
erd,haskell
haskell-servant-docker,haskell
confsinfo,haskell
yesod-postgresql,haskell
haste-compiler,haskell
duckling,haskell
gitit,haskell
haskell-stackage,haskell
barebones,haskell
pulsar-postgres,haskell
snapdocker,haskell
gameoflife,haskell
pandoc-docker,haskell
haskell-sourcegraph,haskell
hirc-bot,haskell
herbert,haskell
unused,haskell
hakyll-box,haskell
counter-app,haskell
pandoc,haskell
erd,haskell
yesod,haskell
expandr,haskell
