source,target
docker-amazonlinux-node,amazonlinux
amazonlinux-elixir-node-awscli,amazonlinux
ci,amazonlinux
release,ci
ci-aws,amazonlinux
ci-eb,amazonlinux
ci-node8,amazonlinux
docker-amazonlinux-node,amazonlinux
plink,amazonlinux
amazonlinux-mock-ec2,amazonlinux
lambda-package,amazonlinux
amazonlinux-for-chromium,amazonlinux
amazonlinux-neon,amazonlinux
acorn,amazonlinux
acceptessa-build,amazonlinux
laravel-docker,amazonlinux
amazonlinux-lamp,amazonlinux
bamboo-docker-runners,amazonlinux
aws-lambda-python36,amazonlinux
testing,amazonlinux
docker-ansible-amazon1,amazonlinux
aws-lambda-builder,amazonlinux
amazonlinux-2,amazonlinux
lambdalike,amazonlinux
lambdapythonpackager,lambdalike
aws-lambda-go-shim,amazonlinux
bg-lambda-deploy,aws-lambda-go-shim
docker-aws-lambda-python3,amazonlinux
aws-cli-docker,amazonlinux
aws-ecr-pusher,aws-cli-docker
aws-xray-daemon,amazonlinux
lambda-build-environment-py36,amazonlinux
docker-ci-builder,amazonlinux
amazon-linux-nginx-php56-msql,amazonlinux
dind,amazonlinux
dind-testing,dind
development,amazonlinux
web-development,development
acorn,amazonlinux
awslogs,amazonlinux
crowbar-builder,amazonlinux
lamp-stack,amazonlinux
docker-test,amazonlinux
meteor-cairo,amazonlinux
clickhouse-tasks-backup,amazonlinux
clickhouse-tasks-backup-restore,amazonlinux
clickhouse-tasks-backup-sync,amazonlinux
clickhouse-tasks-failover-restore,amazonlinux
clickhouse-tasks-init,amazonlinux
s3-latency-probe,amazonlinux
ansible,amazonlinux
ansible-roles,ansible
amazonlinux-bats,amazonlinux
amazon-linux-development-tools,amazonlinux
aws-codebuild-python36,amazonlinux
aws-lambda-dev,amazonlinux
lambda-function-builder,amazonlinux
amazonlinux-python36,amazonlinux
linux,amazonlinux
lambda-runtime-node8,amazonlinux
lambda-runtime-node8-capnp,lambda-runtime-node8
amazon-rust,amazonlinux
docker-rpm-builder,amazonlinux
sync-github-users,amazonlinux
sync-ssh-users,amazonlinux
sugar-docker-amazon-linux-2-image,amazonlinux
sugar-docker-cron-image,sugar-docker-amazon-linux-2-image
docker-amazonlinux-chrome,amazonlinux
alm-awslogs,amazonlinux
mo-awslogs,amazonlinux
grpc_compiler,amazonlinux
lambda-packager,amazonlinux
xray-daemon,amazonlinux
amazonlinux-python,amazonlinux
amazonlinux-xray,amazonlinux
testenv,amazonlinux
amazonlinux-python3,amazonlinux
fastq_utils,amazonlinux
amazonlinux-python36-onbuild,amazonlinux
amazonlinux4lambda,amazonlinux
docker-aws-apache-wsgi,amazonlinux
amazonlinux-apache-php,amazonlinux
amazonlinux-ccb,amazonlinux
docker-java-amazon,amazonlinux
docker-hadoop-amazon,docker-java-amazon
docker-spark-amazon,docker-hadoop-amazon
docker-jupyter-notebook-pyspark-amazon,docker-spark-amazon
docker-spark-scala-notebook-amazon,docker-jupyter-notebook-pyspark-amazon
processmaker,amazonlinux
amazonlinux_ansible,amazonlinux
serverless-amazonlinux,amazonlinux
amazonlinux-python,amazonlinux
apex-build,amazonlinux
awslinux-composer,amazonlinux
datacenter-latency-probe,amazonlinux
aws-linux-with-sharp,amazonlinux
aws-lambda-build,amazonlinux
amazon-linux-rails-app,amazonlinux
lambda-builder,amazonlinux
clickhouse-backup,amazonlinux
clickhouse-backup-restore,amazonlinux
clickhouse-backup-sync,amazonlinux
clickhouse-failover-restore,amazonlinux
clickhouse-register,amazonlinux
docker-study,amazonlinux
aws-linux-httpd24-php70,amazonlinux
ci,amazonlinux
go-ci,ci
docker-awslogs,amazonlinux
amazonlinux-httpd24,amazonlinux
amznlinux-php,amazonlinux
estate,amazonlinux
platform,amazonlinux
confluent-kafka,platform
confluent-kafka-connect,confluent-kafka
amazon-rust,amazonlinux
docker-vips-node,amazonlinux
docker-node-serverless,amazonlinux
docker-amazonlinux-lamp-mysql57,amazonlinux
docker-elixir,amazonlinux
phoenix_cowboy_remove_server_header,docker-elixir
