source,target
example-spring-boot,base-centos7
mysql-multidb-backup-container,base-centos7
mysql-simple-backup-container,base-centos7
s2i-gradle-java,base-centos7
s2i-maven-java,base-centos7
s2i-play-java,base-centos7
shop-example-api-builder,base-centos7
s2i-fatjar,base-centos7
s2i-lisp,base-centos7
s2i-aspnet,base-centos7
go-17-centos7-run,base-centos7
gradle-builder,base-centos7
springboot-maven3-centos,base-centos7
ruby20,base-centos7
origin-s2i-nodejs,base-centos7
springboot-maven3-centos,base-centos7
jekyll-centos7,base-centos7
s2i-go-1.8,base-centos7
s2i-generic,base-centos7
docker-postgres-bdr,base-centos7
s2i-georchestra,base-centos7
elasticsearch,base-centos7
memcached,base-centos7
redis,base-centos7
ruby-19-centos7,base-centos7
sword_images,base-centos7
s2i-reveal-js,base-centos7
s2i-sphinx-doc,base-centos7
s2i-java,base-centos7
springboot-maven3-centos,base-centos7
playbook2image,base-centos7
asciibinder-lighttpd-s2i,base-centos7
openshift-workshops-s2i,base-centos7
s2i-java,base-centos7
springboot-s2i,base-centos7
strapdown-lighttpd-s2i,base-centos7
microservice-java-s2i,base-centos7
s2i-wildfly-keycloak,base-centos7
centos7-s2i-nodejs,base-centos7
openshift-rabbitmq,base-centos7
s2i-java,base-centos7
s2i-java-binary,base-centos7
redis-ellison,base-centos7
krameriusinit,base-centos7
meditor-builder,base-centos7
solr,base-centos7
warehouse,base-centos7
wildfly-8-centos,base-centos7
simple-http-server,base-centos7
jenkins-slave-play,base-centos7
openshift-s2i-browser-base,base-centos7
springboot-sti,base-centos7
ose3-diag,base-centos7
drupal-module-tester,base-centos7
tensorflow-serving-s2i,base-centos7
s2i-aspnet,base-centos7
s2i-springboot,base-centos7
s2i-tomcat,base-centos7
s2i-angular-container,base-centos7
s2i-revel,base-centos7
dynomite,base-centos7
redis-ha,base-centos7
openshift-biserver,base-centos7
memcached-1425-centos7,base-centos7
sti-asciibinder-lighttpd-centos7,base-centos7
sti-meteorjs14-centos7,base-centos7
sti-nodejs,base-centos7
sti-nodejs010-centos7,base-centos7
logstash,base-centos7
s2i-java-br,base-centos7
grails,base-centos7
sbt-0.13-java8-centos7,base-centos7
scala,base-centos7
openshift-rabbitmq,base-centos7
spring-boot-app,base-centos7
tomcat-app,base-centos7
angular-httpd-node8,base-centos7
s2i-angular-container,base-centos7
yahu-shift,base-centos7
wildflyswarm,base-centos7
