source,target
keycloak-quickstarts,wildfly
unifiedpush-wildfly,wildfly
unifiedpush-wildfly-plain,wildfly
chouette-iev,wildfly
docker-wildfly,wildfly
on-wildfly10,wildfly
on-wildfly11,wildfly
on-wildfly9,wildfly
web-budget-docker,wildfly
asciidoctorj-wildfly,wildfly
docker-nba-api,wildfly
wildfly-binbase,wildfly
wildfly-mysql,wildfly
rya,wildfly
drools7-base,wildfly
dcm4chee-arc-psql,wildfly
myresto,wildfly
arcticweb,wildfly
balticweb,wildfly
maritimecloud-portal-demo,wildfly
pdp-ws,wildfly
wildfly-admin,wildfly
tallerdocker,wildfly
jbpm-workbench,wildfly
software-engineering-wildfly,wildfly
apiman-wildfly,wildfly
wildfly-postgres,wildfly
wildfly-swagger-ui,wildfly
java-ee-blog,wildfly
docker-jenkins-bitbucket,wildfly
movieplex7,wildfly
wildfly-domain,wildfly
wildfly-monitor,wildfly
wildfly-mysql,wildfly
document-validator-service,wildfly
imixs-admin,wildfly
orchestrator,wildfly
apiman-wildfly,wildfly
artificer-wildfly,wildfly
drools-workbench,wildfly
infinispan-modules,wildfly
jbpm-workbench,wildfly
keycloak-adapter-wildfly,wildfly
kie-server,wildfly
modeshape,wildfly
switchyard-wildfly,wildfly
teiid,wildfly
uf-dashbuilder,wildfly
modeshape,wildfly
restfulhelloworld,wildfly
kitchensink-docker-is,wildfly
wildfly-ext,wildfly
wildfly-sqlserver-vaadin,wildfly
jbpm-workbench,wildfly
kie-server,wildfly
kie-workbench,wildfly
optaplanner-webexamples,wildfly
lightblue,wildfly
docker-cables-wildfly,wildfly
docker-naming-service-wildfly,wildfly
docker-rbac-management-studio-wildfly,wildfly
clingo4j-jee-example,wildfly
jbpm,wildfly
docker-stargazer-web,wildfly
wildfly-mysql,wildfly
zabbix-wrapper,wildfly
jenkinstest,wildfly
wildfly8.2-admin,wildfly
mywildfly,wildfly
dcm4chee-arc-light,wildfly
wildfly-gelf,wildfly
creditcalculation,wildfly
wildfly-extras,wildfly
wildfly-postgres,wildfly
wildfly-ticketmonster-h2,wildfly
demotestmysql,wildfly
wildfly-9,wildfly
wildfly-ci,wildfly
docker-wildfly,wildfly
ping,wildfly
pokertracker-docker,wildfly
pokertracker-query-docker,wildfly
wildfly-ogm,wildfly
wildfly-cluster,wildfly
wildfly-deployment-demo,wildfly
wildfly-admin,wildfly
zanata-platform,wildfly
wildfly-debug,wildfly
seed-jee,wildfly
wildfly-9.0.1.final,wildfly
docker-vdbbuilder,wildfly
dsbuilder,wildfly
transmart-core,wildfly
wildfly-empty,wildfly
aws-demo-webapp,wildfly
wildfly-jbpm,wildfly
drools-workbench-docker,wildfly
unifiedpushserver,wildfly
apiman,wildfly
jbpm,jbpm-workbench
